D,L,NC,W,dob,fname,height,lname,name,reach,sapm,slpm,stance,str_acc,str_def,sub_avg,td_acc,td_avg,td_def,weight,year_counts,15_rec,16_rec,17_rec,18_rec,reach_height_ratio,reach_weight_ratio,weight_class,age,age_z,reach_z,height_z,sapm_z,slpm_z,str_acc_z,sub_avg_z,td_acc_z,td_avg_z,td_def_z,win_perc,total_fights,brawl_score,strike_diff,strike_ratio
0,1,0,3,1995-04-07,Hu,75.0,Yaozong,Hu Yaozong,72.0,2.65,1.06,Orthodox,0.44,,2.0,0.0,0.0,0.0,242,"[0, 0, 1, 0]",0,0,1,0,0.96,0.2975206611570248,265,23.221917808219178,-2.134238752534129,-1.8117607588134093,0.12629867451207857,-0.3964141668900058,-1.5695744104227152,-0.14407245490360115,1.957412214990118,-1.2121473436117978,-0.8908771368507532,-1.923351218604814,0.75,4,3.71,-1.5899999999999999,0.4
0,4,0,5,1993-01-16,Chris,70.0,Avila,Chris Avila,72.0,4.17,2.37,Orthodox,0.3,,0.0,0.0,0.0,0.46,145,"[0, 2, 0, 0]",0,2,0,0,1.0285714285714285,0.496551724137931,145,25.443835616438356,-1.4997801533867816,0.786653728212863,0.5700499876846751,0.5390524012999697,-0.601394232183559,-1.1282894591989574,-0.47744186994331295,-1.497718137838797,-1.1261387460978547,-0.5060119779116288,0.5555555555555556,9,6.54,-1.7999999999999998,0.5683453237410072
0,4,0,6,1987-08-04,Oluwale,71.0,Bamgbose,Oluwale Bamgbose,78.0,2.7,2.45,Switch,0.48,,0.0,0.33,0.94,0.37,185,"[1, 2, 2, 0]",1,2,2,0,1.0985915492957747,0.42162162162162165,185,30.9013698630137,-0.5404884551792281,1.2126100366800476,-0.9591473255932668,-0.21063064043130067,-0.5048063562265397,0.25270630030772806,-0.8023079031671654,-0.19977820518868802,-0.5553170891508238,-0.9149754404737902,0.6,10,5.15,-0.25,0.9074074074074074
0,14,0,26,1978-09-24,Brad,66.0,Pickett,Brad Pickett,68.0,4.63,3.02,Orthodox,0.31,,0.4,0.44,2.47,0.58,135,"[1, 3, 1, 0]",1,3,1,0,1.0303030303030303,0.5037037037037037,135,39.76712328767123,1.8909666405169496,-0.02971030137367235,-0.49546632666322865,0.7818100206473774,-0.08802063181388001,-0.754653068248298,-0.22618687221147768,0.2855111411589089,0.5774921361989147,0.0605734815897449,0.65,40,7.65,-1.6099999999999999,0.6522678185745141
0,5,0,25,1984-07-31,Joseph,64.0,Benavidez,Joseph Benavidez,65.0,2.5,3.44,Southpaw,0.32,,0.7,0.27,1.26,0.66,125,"[2, 2, 0, 1]",2,2,0,1,1.015625,0.52,125,33.912328767123284,0.9012243461747294,-0.6243779996143857,-0.9793762996208284,-0.4256343623054248,0.38366976609414605,-0.6452349049137291,-0.12281482606248886,-0.33834138127408053,-0.234246500277893,0.5300915283364782,0.8333333333333334,30,5.9399999999999995,0.94,1.376
0,6,0,13,1983-09-19,Leandro,67.0,Issa,Leandro Issa,69.0,3.17,2.08,Orthodox,0.37,,1.2,0.22,2.38,0.5,135,"[1, 1, 0, 0]",1,1,0,0,1.0298507462686568,0.5111111111111111,135,34.778082191780825,0.7928900373429706,0.36642705027527733,0.0701131594334722,-0.09332974774424348,-0.7048700872982091,-0.23236696000400384,0.3576768405904165,-0.5732805625303727,0.5189090960200028,-0.22685362713022167,0.6842105263157895,19,5.25,-1.0899999999999999,0.6561514195583596
0,2,0,8,1994-06-13,Lucie,68.0,Pudilova,Lucie Pudilova,67.0,4.07,5.04,Orthodox,0.44,,0.7,0.0,0.0,0.76,135,"[0, 0, 2, 1]",0,0,2,1,0.9852941176470589,0.4962962962962963,135,24.03835616438356,-1.5708992457113964,-0.425847653022622,0.635692645530173,0.44613997249716686,1.2375494746524445,0.3769668329476728,-0.00723797991076739,-1.4320722662196543,-1.0302868553778863,0.7072844762096702,0.8,10,9.11,0.9699999999999998,1.2383292383292384
0,5,0,11,1985-11-24,Mitch,70.0,Clarke,Mitch Clarke,73.0,3.27,2.35,Orthodox,0.34,,0.4,0.15,0.64,0.5,155,"[1, 1, 1, 0]",1,1,1,0,1.042857142857143,0.47096774193548385,155,32.59452054794521,0.20319278273089186,0.6928989590446715,0.05325947693407655,-0.05689531744596228,-0.5602926609417398,-0.8190331353725515,-0.22926894421520602,-0.8305013252490284,-0.6502125911271409,-0.18409855851140575,0.6875,16,5.62,-0.9199999999999999,0.7186544342507646
0,8,0,22,1983-03-07,Steve,71.0,Kennedy,Steve Kennedy,71.0,5.52,2.28,Orthodox,0.35,,0.0,0.33,2.51,0.0,170,"[2, 0, 0, 0]",2,0,0,0,1.0,0.4176470588235294,170,35.31506849315068,0.7086612966065241,-1.1126975853435004,-0.24404640907344774,1.7211733346899818,-0.2618408603919562,-0.7687825965893481,-0.6855542864217495,-0.08908362633636926,0.8447753142527931,-2.3215914266164317,0.7333333333333333,30,7.799999999999999,-3.2399999999999998,0.41304347826086957
0,6,0,30,1988-10-24,Alexander,79.0,Volkov,Alexander Volkov,80.0,2.35,4.84,Orthodox,0.58,,0.3,0.83,0.83,0.73,250,"[0, 1, 2, 1]",0,1,2,1,1.0126582278481013,0.32,265,29.676712328767124,-0.883105531808001,1.0601324563954624,1.978679234022608,-0.5923452828266533,1.2859453439144737,1.03400673386567,-0.27224921162806753,1.5801752587033528,-0.3070483348806102,0.42265034373391935,0.8333333333333334,36,7.1899999999999995,2.4899999999999998,2.0595744680851062
0,0,0,11,1992-08-06,Trevin,72.0,Giles,Trevin Giles,74.0,1.13,5.45,Orthodox,0.66,,0.0,1.0,3.69,0.66,185,"[0, 0, 2, 0]",0,0,2,0,1.0277777777777777,0.4,185,25.89041095890411,-1.6603126608759504,-0.335063299608959,-0.40295538530841574,-1.4354088088651642,1.7788229518301228,1.891580983185795,-0.8023079031671654,2.428966675109757,1.4786317492039887,0.27949410561096527,1.0,11,6.58,4.32,4.823008849557523
0,1,0,15,1992-02-21,Brett,67.0,Johns,Brett Johns,71.0,3.74,2.92,Orthodox,0.47,,0.7,0.6,4.95,0.7,135,"[0, 1, 2, 1]",0,1,2,1,1.0597014925373134,0.5259259259259259,135,26.34794520547945,-1.0625639483606744,1.1587017535731767,0.0701131594334722,0.2483344084086498,-0.15364291431221294,0.6381098870698196,-0.00723797991076739,0.9100869256602045,2.1917803544622614,0.491714144669695,0.9375,16,6.66,-0.8200000000000003,0.7807486631016042
0,3,0,9,1983-01-31,Konstantin,71.0,Erokhin,Konstantin Erokhin,73.0,1.83,1.07,Orthodox,0.36,,0.0,0.0,0.0,0.7,230,"[2, 0, 0, 0]",2,0,0,0,1.028169014084507,0.3173913043478261,265,35.41095890410959,0.228363836180024,-1.4527741069123004,-1.726081884998451,-0.9319592171168426,-1.5620201253583312,-0.8172605627717565,-0.6657188751489238,-1.2121473436117978,-0.8908771368507532,0.3262393206241083,0.75,12,2.9000000000000004,-0.76,0.5846994535519126
0,2,0,16,1988-05-31,Elias,73.0,Theodorou,Elias Theodorou,75.0,1.99,3.93,Orthodox,0.42,,0.0,0.3,1.58,0.58,185,"[2, 1, 3, 1]",2,1,3,1,1.0273972602739727,0.40540540540540543,185,30.076712328767123,-0.7247788247334728,0.05185503446329265,0.15323655497643532,-0.7645112134173154,0.6217841024147471,-0.29358526065162743,-0.8023079031671654,-0.31748319982891704,-0.08196172313370371,-0.05001473468827785,0.8888888888888888,18,5.92,1.9400000000000002,1.9748743718592965
0,10,0,28,1984-10-26,Rafael,68.0,Dos Anjos,Rafael Dos Anjos,70.0,3.18,3.71,Southpaw,0.44,,0.7,0.4,2.11,0.64,170,"[2, 2, 3, 1]",2,2,3,1,1.0294117647058822,0.4117647058823529,170,33.673972602739724,0.2948039810450798,-1.579684654839994,-1.924873085649723,-0.05831797322895025,0.07139684721798707,0.14590034679797984,0.28735297826384265,0.20299803357684226,0.5342416812298347,0.18371960705095497,0.7368421052631579,38,6.890000000000001,0.5299999999999998,1.1666666666666665
1,5,0,10,1992-12-02,Marlon,68.0,Vera,Marlon Vera,70.0,4.03,3.07,Switch,0.42,,1.2,0.3,0.46,0.74,135,"[1, 2, 3, 1]",1,2,3,1,1.0294117647058822,0.5185185185185185,135,25.567123287671233,-1.2344210773582491,0.762564401924227,0.635692645530173,0.4221635404864375,-0.05520949056471367,0.20287146353290794,0.3576768405904165,-0.2609926702797249,-0.7308624277967818,0.6354276990296784,0.65625,16,7.1,-0.9600000000000004,0.7617866004962778
0,1,0,13,1992-08-31,Ricky,66.0,Simon,Ricky Simon,69.0,3.23,2.73,Orthodox,0.4,,0.5,0.61,8.0,0.69,135,"[0, 0, 0, 2]",0,0,0,2,1.0454545454545454,0.5111111111111111,135,25.82191780821918,-1.1783413826327245,0.36642705027527733,-0.49546632666322865,-0.05736509972814944,-0.27832525105904543,0.028776094118143514,-0.1532039081112409,0.9491229121915356,4.177094493858716,0.45578575607969907,0.9285714285714286,14,5.96,-0.5,0.8452012383900929
0,4,0,12,1985-11-23,Jason,71.0,Saggo,Jason Saggo,71.0,2.94,2.5,Orthodox,0.39,,0.0,0.4,2.33,0.23,155,"[0, 3, 1, 0]",0,3,1,0,1.0,0.45806451612903226,155,32.5972602739726,0.20395394393827046,-0.2443556715471552,0.6834966206539899,-0.28995868812955655,-0.4642079345490287,-0.271735292576875,-0.8849781246706946,0.18075284292715643,0.5518749004403019,-1.1618214394089792,0.75,16,5.4399999999999995,-0.43999999999999995,0.8503401360544218
1,14,1,14,1986-08-11,Artem,69.0,Lobov,Artem Lobov,65.0,4.55,3.38,Southpaw,0.42,,0.0,0.25,0.45,0.54,145,"[1, 3, 2, 0]",1,3,2,0,0.9420289855072463,0.4482758620689655,145,31.882191780821916,0.23574567782062592,-2.5298068759572794,0.04830932099022796,0.781307225537275,0.05883204445273875,-0.005199490595385123,-0.47744186994331295,-0.4844786058506357,-0.8157880624553498,-0.1831210259798353,0.5,30,7.93,-1.17,0.7428571428571429
0,4,0,8,1990-03-26,Bobby,72.0,Nash,Bobby Nash,74.0,3.95,3.42,Orthodox,0.37,,1.6,0.33,2.37,1.0,170,"[0, 0, 3, 0]",0,0,3,0,1.0277777777777777,0.43529411764705883,170,28.257534246575343,-1.0711324344223239,0.288263623145981,0.3162291497853107,0.5272411323683053,0.0038171722481384353,-0.5655197202810529,1.5382337471453187,-0.08908362633636926,0.7360885426947579,1.5929570634888597,0.6666666666666666,12,7.37,-0.5300000000000002,0.8658227848101265
0,4,0,22,1981-09-26,David,73.0,Branch,David Branch,78.0,1.69,1.66,Orthodox,0.4,,0.0,0.33,2.17,0.42,185,"[0, 0, 2, 1]",0,0,2,1,1.0684931506849316,0.42162162162162165,185,36.75890410958904,0.7685242029834793,1.2126100366800476,0.15323655497643532,-0.9985452583409836,-1.1061620740147944,-0.4756824476380789,-0.8023079031671654,-0.19977820518868802,0.35441275491332863,-0.7090324152867634,0.8461538461538461,26,3.3499999999999996,-0.030000000000000027,0.9822485207100592
0,1,1,22,1987-07-19,Jon,76.0,Jones,Jon Jones,84.0,2.12,4.41,Orthodox,0.55,,0.6,0.5,2.13,0.95,205,"[1, 1, 1, 0]",1,1,1,0,1.105263157894737,0.4097560975609756,205,30.945205479452056,-0.4601828654047411,3.1758295160587284,1.448259665011927,-0.9243178486426168,0.45028077806089717,0.8466670974808591,0.03329450307825095,0.697308105806233,0.3836927236737117,1.2799040638526549,0.9565217391304348,24,6.53,2.29,2.080188679245283
0,5,1,15,1987-09-07,Yancy,70.0,Medeiros,Yancy Medeiros,75.0,5.22,4.39,Orthodox,0.36,,0.6,0.33,0.15,0.83,170,"[2, 2, 2, 2]",2,2,2,2,1.0714285714285714,0.4411764705882353,170,30.80821917808219,-0.42789176532765905,0.7552506926424747,-0.8043219679322061,1.4930334234183238,0.2298595333541838,-0.6671511584352005,0.14836622616590092,-0.08908362633636926,-0.9873731205826616,0.9274838201709601,0.75,21,9.61,-0.8300000000000001,0.8409961685823755
0,3,0,6,1988-07-21,Antonio,70.0,Dos Santos,Antonio Dos Santos,72.0,3.94,5.4,Orthodox,0.51,,0.0,0.0,0.0,1.0,185,"[1, 0, 0, 0]",1,0,0,0,1.0285714285714285,0.3891891891891892,185,29.936986301369863,-0.7560041032958197,-1.1088999677534623,-1.5153392658781177,0.7567100785865276,1.7407624633625118,0.5258520807874061,-0.8023079031671654,-1.494533146231206,-1.2505577829884686,1.6799066768827473,0.6666666666666666,9,9.34,1.4600000000000004,1.3705583756345179
0,7,0,9,1988-09-05,Raquel,67.0,Pennington,Raquel Pennington,67.0,3.37,3.63,Orthodox,0.49,,1.1,0.35,1.29,0.64,135,"[2, 3, 0, 1]",2,3,0,1,1.0,0.4962962962962963,135,29.81095890410959,-0.30036250606967424,-0.425847653022622,0.0701131594334722,0.026552412309403323,0.31227529142595056,0.8122052564845846,0.28469387649017985,-0.06581273762307004,-0.19059661281348422,0.27614381312972014,0.5625,16,7.0,0.2599999999999998,1.0771513353115727
0,4,0,18,1981-09-02,Shamil,75.0,Abdurakhimov,Shamil Abdurakhimov,76.0,2.53,2.53,Orthodox,0.45,,0.3,0.22,1.36,0.77,235,"[1, 3, 1, 0]",1,3,1,0,1.0133333333333334,0.32340425531914896,265,36.824657534246576,0.5023811290045916,-0.37581415120897343,0.12629867451207857,-0.4747866132646649,-0.4590945059582529,-0.059923941420081686,-0.27224921162806753,-0.4720136417933241,0.06575800854610776,0.5511983745470008,0.8181818181818182,22,5.06,0.0,1.0
1,6,0,15,1988-12-18,Bojan,72.0,Velickovic,Bojan Velickovic,76.0,2.31,2.18,Southpaw,0.34,,0.5,0.25,0.67,0.55,170,"[0, 3, 3, 0]",0,3,3,0,1.0555555555555556,0.4470588235294118,170,29.526027397260275,-0.7512393841636448,1.2222377621389686,0.3162291497853107,-0.7199237159167585,-0.28514419658845563,-0.8704140347434951,0.009379474067959205,-0.42289123766575387,-0.5836793976528155,-0.1685897570585211,0.7045454545454546,22,4.49,-0.1299999999999999,0.9437229437229437
0,10,1,33,1986-05-06,Sam,74.0,Alvey,Sam Alvey,75.0,3.21,3.1,Southpaw,0.45,,0.1,0.25,0.1,0.84,205,"[3, 4, 4, 2]",3,4,4,2,1.0135135135135136,0.36585365853658536,205,32.14794520547945,-0.1963779167151393,-0.2934190313749894,0.18567431602717152,-0.15522895168043932,-0.3474720403493003,-0.16162296606902582,-0.4020951525604156,-0.3038944109763653,-0.8959628350583294,0.9076769099794876,0.7674418604651163,44,6.3100000000000005,-0.10999999999999988,0.9657320872274143
0,4,0,18,1986-10-08,Will,70.0,Brooks,Will Brooks,72.0,2.54,4.26,Orthodox,0.59,,0.3,0.51,2.08,0.82,155,"[0, 2, 2, 0]",0,2,2,0,1.0285714285714285,0.4645161290322581,155,31.723287671232878,-0.03885648121589091,0.22427164374875816,0.05325947693407655,-0.5724597435036101,0.6631861884587823,1.917456078605831,-0.3931962393290782,0.6257046769246777,0.3740513070131653,0.9746841151449774,0.8181818181818182,22,6.8,1.7199999999999998,1.6771653543307086
0,5,0,15,1987-07-14,Alex,69.0,Garcia,Alex Garcia,72.0,2.98,1.81,Orthodox,0.3,,0.1,0.54,4.12,0.66,170,"[1, 2, 2, 1]",1,2,2,1,1.0434782608695652,0.4235294117647059,170,30.958904109589042,-0.3898915109772753,-0.6457105158470067,-1.3645975267909645,-0.2104112474100557,-0.37136654051550394,-1.2769397873600856,-0.5465675343238079,0.7871613534032653,2.0946731871702013,0.26201057685306084,0.75,20,4.79,-1.17,0.6073825503355705
0,1,0,11,1991-07-07,Cody,68.0,Garbrandt,Cody Garbrandt,65.0,2.99,3.45,Orthodox,0.37,,0.0,0.38,1.06,1.0,135,"[2, 4, 1, 1]",2,4,1,1,0.9558823529411765,0.48148148148148145,135,26.975342465753425,-0.9244752376924472,-1.2181223563205215,0.635692645530173,-0.20122369179252533,0.19415518292895154,-0.23236696000400384,-0.5181187286124248,0.05129522197092302,-0.34030882660403655,1.5695658023695702,0.9166666666666666,12,6.44,0.45999999999999996,1.1538461538461537
0,6,0,18,1979-09-01,Tim,71.0,Kennedy,Tim Kennedy,74.0,1.84,2.78,Orthodox,0.47,,0.7,0.35,2.58,0.7,185,"[0, 1, 0, 0]",0,1,0,0,1.0422535211267605,0.4,185,38.83013698630137,1.2313930381429776,-0.335063299608959,-0.9591473255932668,-0.8815282358791495,-0.25360713234030713,0.16165770681450206,0.09848296683721348,-0.12130820876186892,0.6576560362680463,0.44424852576058643,0.75,24,4.62,0.9399999999999997,1.5108695652173911
