name,fname,lname,req_tests_15,req_tests_16,req_tests_17,req_tests_18,scaled_req_tests_15,scaled_req_tests_16,scaled_req_tests_17,scaled_req_tests_18,scaled_tests_15,scaled_tests_16,scaled_tests_17,scaled_tests_18,tests_15,tests_16,tests_17,tests_18
Abdul Razak Alhassan,Abdul,Razak Alhassan,,,2.0,0.0,,,2.0,2.2941176470588234,,,4.0,4.294117647058823,,,4.0,2.0
Abdul-Kerim Edilov,Abdul-Kerim,Edilov,,0.0,2.0,0.0,,0.0,2.0,0.1470588235294117,,2.0,4.0,2.1470588235294117,,2.0,4.0,1.0
Abel Trujillo,Abel,Trujillo,2.0,4.0,1.0,,5.934782608695651,4.0,1.0,,7.934782608695651,6.0,3.0,,4.0,6.0,3.0,
Abu Azaitar,Abu,Azaitar,,,,0.0,,,,0.1470588235294117,,,,2.1470588235294117,,,,1.0
Adam Hunter,Adam,Hunter,,0.0,,,,0.0,,,,2.0,,,,2.0,,
Adam Khaliev,Adam,Khaliev,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,1.0,1.0,
Adam Milstead,Adam,Milstead,,0.0,1.0,1.0,,0.0,1.0,4.4411764705882355,,1.0,3.0,6.4411764705882355,,1.0,3.0,3.0
Adam Wieczorek,Adam,Wieczorek,,,2.0,0.0,,,2.0,0.1470588235294117,,,4.0,2.1470588235294117,,,4.0,1.0
Adriano Martins,Adriano,Martins,,2.0,3.0,,,2.0,3.0,,,4.0,5.0,,,4.0,5.0,
Aiemann Zahabi,Aiemann,Zahabi,,0.0,0.0,0.0,,0.0,0.0,2.2941176470588234,,2.0,2.0,4.294117647058823,,2.0,2.0,2.0
Aisling Daly,Aisling,Daly,,1.0,,,,1.0,,,,3.0,,,,3.0,,
Al Iaquinta,Al,Iaquinta,,1.0,6.0,1.0,,1.0,6.0,4.4411764705882355,,3.0,8.0,6.4411764705882355,,3.0,8.0,3.0
Alan Jouban,Alan,Jouban,0.0,2.0,4.0,0.0,0.0,2.0,4.0,0.1470588235294117,1.9836956521739129,4.0,6.0,2.1470588235294117,1.0,4.0,6.0,1.0
Alan Patrick,Alan,Patrick,,0.0,0.0,0.0,,0.0,0.0,2.2941176470588234,,1.0,2.0,4.294117647058823,,1.0,2.0,2.0
Albert Morales,Albert,Morales,,1.0,1.0,1.0,,1.0,1.0,4.4411764705882355,,3.0,3.0,6.4411764705882355,,3.0,3.0,3.0
